"red","green","blue","ir","ndvi","Cmmn_Nm","red_blue","red_green","blue_green"
4358,3825,2790,7820,0.284283133519461,"Broadleaf",1.56200716845878,1.13934640522876,0.729411764705882
4688,4147,3071,7914,0.255991112521822,"Broadleaf",1.52653858677955,1.13045575114541,0.740535326742223
4535,3964,2984,6794,0.199399770500485,"Broadleaf",1.51977211796247,1.14404641775984,0.752774974772957
3836,3235,2255,5328,0.162810999563509,"Broadleaf",1.70110864745011,1.18578052550232,0.697063369397218
4534,3961,2924,6520,0.179663470237018,"Broadleaf",1.55061559507524,1.14466043928301,0.738197424892704
4617,4154,3222,8560,0.299233512939212,"Broadleaf",1.43296089385475,1.11145883485797,0.77563793933558
3733,2720,1568,3078,-0.096167963588313,"Broadleaf",2.38073979591837,1.37242647058824,0.576470588235294
4996,4474,3608,7374,0.192239288601455,"Broadleaf",1.38470066518847,1.11667411712114,0.806437192668753
4010,3568,2377,6608,0.244678847240535,"Broadleaf",1.68700042069836,1.12387892376682,0.666199551569507
3817,3236,2172,5569,0.186660984444918,"Broadleaf",1.7573664825046,1.17954264524104,0.671199011124845
4418,3859,2726,7458,0.255978443920512,"Broadleaf",1.62068965517241,1.14485618035761,0.706400621922778
5453,4921,4138,5875,0.0372528248587571,"Broadleaf",1.31778637022716,1.10810810810811,0.840885998780736
4429,3888,2655,8371,0.30796875,"Broadleaf",1.66817325800377,1.13914609053498,0.68287037037037
4140,3467,2387,6460,0.218867924528302,"Broadleaf",1.73439463762044,1.19411595038939,0.688491491202769
4168,3919,2822,8704,0.352392790553139,"Broadleaf",1.47696669029057,1.0635366164838,0.720081653483031
4355,3765,2819,6584,0.203766340616144,"Broadleaf",1.54487406881873,1.15670650730412,0.748738379814077
4436,3989,3031,8207,0.298267816182868,"Broadleaf",1.46354338502144,1.11205815993983,0.759839558786663
4484,3999,2866,7631,0.259760627321502,"Broadleaf",1.56454989532449,1.12128032008002,0.716679169792448
4242,3705,2765,6296,0.194913645853103,"Broadleaf",1.53417721518987,1.14493927125506,0.746288798920378
4074,3472,2338,6558,0.233634311512415,"Broadleaf",1.74251497005988,1.17338709677419,0.673387096774194
4160,3630,2672,6635,0.229272811486799,"Broadleaf",1.55688622754491,1.14600550964187,0.736088154269972
4171,3597,2576,7864,0.306855006231824,"Broadleaf",1.61917701863354,1.15957742563247,0.716152349179872
3993,3538,2449,7811,0.323449678075229,"Broadleaf",1.63046141282156,1.12860373092142,0.692198982475975
4373,3945,2815,8713,0.331652147333028,"Broadleaf",1.55346358792185,1.1084917617237,0.713561470215463
4237,3721,2581,6602,0.21819356029154,"Broadleaf",1.64161177838047,1.1386723998925,0.693630744423542
4020,3528,2536,5537,0.158731819608664,"Broadleaf",1.58517350157729,1.13945578231293,0.718820861678005
4174,3594,2435,6575,0.223369615778212,"Broadleaf",1.71416837782341,1.16138007790762,0.677518085698386
4528,4087,3111,7105,0.221524972062237,"Broadleaf",1.45548055287689,1.10790310741375,0.761194029850746
4026,3617,2561,6509,0.235690555291884,"Broadleaf",1.57204217102694,1.11307713574786,0.708045341443185
4040,3288,2255,5444,0.148038802193167,"Broadleaf",1.79157427937916,1.2287104622871,0.685827250608273
4342,3935,2922,7549,0.269699772937516,"Broadleaf",1.48596851471595,1.10343074968234,0.742566709021601
4208,3721,2592,8976,0.361650485436893,"Broadleaf",1.62345679012346,1.13087879602257,0.696586938994894
4228,3818,2688,7059,0.250819526889342,"Broadleaf",1.57291666666667,1.10738606600314,0.704033525405972
